username,like_count,comment_count,share_count,view_count,hashtags,age_group
anon_0001,76,34,0,656,"['momlife', 'firsttimemom', 'sahm', 'newmom', 'roadto10k', 'motherhoodunplugged', 'momlifebelike', 'momtok', 'momsoftiktok', 'pregnanttiktok', 'growingmyaccount', 'motherhoodjourney', 'fypシ゚viral', 'motherhoodunfiltered', 'scrunchymama', 'momlifevibes', 'pregnanttok']",age1
anon_0002,32,4,0,1010,"['pregnancy', 'ultrasound', 'sahm', 'momsoftiktok', 'momtoks', 'relatablemomcontent', 'sahmsoftiktok', 'pregnancytiktok', 'momtoktakeover', 'momtoktakeover2024']",age1
anon_0003,1086,74,85,50305,"['pregnancy', 'pregnant', 'ttc', 'momlife', 'fyp', 'stayathomemom', 'sahm', 'newmom', '23weekspregnant', 'firstpregnancy', 'fertility', 'foryoupage']",age1
anon_0004,2088,24,5,28514,"['pregnant', 'dinnertime', 'familyof5', 'onabudget', 'whatsfordinner', 'sahm', 'lowincome', 'momof3']",age1
anon_0005,165,17,3,3012,"['breakfast', 'earlymorning', 'pregnant', 'fy', 'fyp', 'CookWithMe', 'bluecollar', 'sahm', 'easyrecipe', 'makebreakfastwithme', 'bluecollarlife', 'fypシ', 'fypシ゚viral', 'bluecollarwife']",age1
anon_0006,73,2,0,519,"['couples', 'moms', 'pregnant', 'advice', 'sahm', 'wlw', 'ivf', 'ivfjourney']",age1
anon_0007,225,20,0,3584,"['food', 'motherhood', 'pregnancy', 'fyp', 'pregnantmom', 'sahm', 'whatieatinaday', '22weekspregnant', 'pregnanttiktok', 'pregnancymeals', 'scrunchymoms', 'pregnancymealideas']",age1
anon_0008,45,1,3,792,"['motherhood', 'fyp', 'sahm', 'pregnancyjourney']",age1
anon_0009,97,5,2,1302,"['lifting', 'vettechlife', 'pregnant', 'funnyvideo', 'suspect', 'arrest', 'dryer', 'sahm', 'vetmed', 'slicedbread', 'veterinarymedicine', 'vetmedhumor', 'vettechsoftiktok', 'suspecttrend', 'twohospitalsonefam']",age1
anon_0010,31,5,0,737,"['pregnantlife', 'sahm', 'ditl', 'momsoftiktok']",age1
anon_0011,229,7,0,1666,"['morningroutine', 'fyp', 'sahm', 'pregnancyjourney', 'momsoftiktok']",age1
anon_0012,21,1,0,368,"['trending', 'babyboy', 'pregnant', 'sahm', 'fypシ']",age1
anon_0013,7,2,0,154,"['christmas', 'merrychristmas', 'mom', 'follow', 'motherhood', 'pregnant', 'momlife', 'fyp', 'boymom', 'familyof6', 'advent', 'adventcalendar', 'day22', 'sahm', 'busymom', 'lightdisplay', 'gardenglow', 'capcut']",age1
anon_0014,36,9,4,401,"['ootd', 'pregnant', 'homestead', 'fyp', 'homesteading', 'sahm', 'momofboys', 'milkcow', 'momsoftiktok']",age1
anon_0015,26,2,0,430,"['pregnant', 'fyp', 'sahm', 'photoslideshow', 'momsoftiktok', 'sahmsoftiktok', 'pregnancytiktok']",age1
anon_0016,571,44,42,11597,"['pregnancy', 'pregnant', 'pregnantlife', '6monthspregnant', 'sahm', '27weekspregnant', 'pregnancyjourney', 'pregnancytok']",age1
anon_0017,20,9,0,367,"['makeup', 'pregnant', 'grwm', 'pregnantlife', 'boymom', 'boyseverywhere', 'sahm', 'sahmlife', 'boymama', 'boymamalife', 'grwmroutine', 'grwmmakeup', 'sahmsoftiktok']",age1
anon_0018,22,2,0,421,"['trending', 'youngmom', 'sahm', 'girlssupportinggirls', 'momsoftiktok', 'pregnanttiktok', 'fypシ', 'mnmoms']",age1
anon_0019,43,2,1,923,"['motherhood', 'pregnancy', 'fyp', 'yourjustaboy', 'sahm', 'momsoftiktok']",age1
anon_0020,16,1,0,414,"['like', 'pregnant', 'taco', 'fyp', 'tacotime', 'sahm', 'tacofamily', 'likeforlike☺☺', 'fypシ']",age1
anon_0021,45,14,0,312,"['bump', 'pregnant', 'pregnantlife', 'wfh', 'sahm', 'nesting', 'girlmom', '34weekspregnant', 'momtok', 'momsoftiktok']",age1
