username,engagement,like_count,comment_count,share_count,view_count,hashtags,age_group,relatability_label,relatability_score
anon_0001,0.1676829268292683,76,34,0,656,"['momlife', 'firsttimemom', 'sahm', 'newmom', 'roadto10k', 'motherhoodunplugged', 'momlifebelike', 'momtok', 'momsoftiktok', 'pregnanttiktok', 'growingmyaccount', 'motherhoodjourney', 'fypシ゚viral', 'motherhoodunfiltered', 'scrunchymama', 'momlifevibes', 'pregnanttok']",age1,relatable content,0.9556207060813904
anon_0002,0.0356435643564356,32,4,0,1010,"['pregnancy', 'ultrasound', 'sahm', 'momsoftiktok', 'momtoks', 'relatablemomcontent', 'sahmsoftiktok', 'pregnancytiktok', 'momtoktakeover', 'momtoktakeover2024']",age1,relatable content,0.9812527298927308
anon_0003,0.0247490309114402,1086,74,85,50305,"['pregnancy', 'pregnant', 'ttc', 'momlife', 'fyp', 'stayathomemom', 'sahm', 'newmom', '23weekspregnant', 'firstpregnancy', 'fertility', 'foryoupage']",age1,relatable content,0.8786345720291138
anon_0004,0.0742442309041172,2088,24,5,28514,"['pregnant', 'dinnertime', 'familyof5', 'onabudget', 'whatsfordinner', 'sahm', 'lowincome', 'momof3']",age1,relatable content,0.9673171639442444
anon_0005,0.0614209827357237,165,17,3,3012,"['breakfast', 'earlymorning', 'pregnant', 'fy', 'fyp', 'CookWithMe', 'bluecollar', 'sahm', 'easyrecipe', 'makebreakfastwithme', 'bluecollarlife', 'fypシ', 'fypシ゚viral', 'bluecollarwife']",age1,relatable content,0.5260985493659973
anon_0006,0.1445086705202312,73,2,0,519,"['couples', 'moms', 'pregnant', 'advice', 'sahm', 'wlw', 'ivf', 'ivfjourney']",age1,relatable content,0.4303329288959503
anon_0007,0.068359375,225,20,0,3584,"['food', 'motherhood', 'pregnancy', 'fyp', 'pregnantmom', 'sahm', 'whatieatinaday', '22weekspregnant', 'pregnanttiktok', 'pregnancymeals', 'scrunchymoms', 'pregnancymealideas']",age1,shared experience,0.266633540391922
anon_0008,0.0618686868686868,45,1,3,792,"['motherhood', 'fyp', 'sahm', 'pregnancyjourney']",age1,everyday life situation,0.3358067870140075
anon_0009,0.0798771121351766,97,5,2,1302,"['lifting', 'vettechlife', 'pregnant', 'funnyvideo', 'suspect', 'arrest', 'dryer', 'sahm', 'vetmed', 'slicedbread', 'veterinarymedicine', 'vetmedhumor', 'vettechsoftiktok', 'suspecttrend', 'twohospitalsonefam']",age1,everyday life situation,0.3715272843837738
anon_0010,0.0488466757123473,31,5,0,737,"['pregnantlife', 'sahm', 'ditl', 'momsoftiktok']",age1,relatable content,0.781652569770813
anon_0011,0.141656662665066,229,7,0,1666,"['morningroutine', 'fyp', 'sahm', 'pregnancyjourney', 'momsoftiktok']",age1,relatable content,0.593544602394104
anon_0012,0.0597826086956521,21,1,0,368,"['trending', 'babyboy', 'pregnant', 'sahm', 'fypシ']",age1,everyday life situation,0.3649684190750122
anon_0013,0.0584415584415584,7,2,0,154,"['christmas', 'merrychristmas', 'mom', 'follow', 'motherhood', 'pregnant', 'momlife', 'fyp', 'boymom', 'familyof6', 'advent', 'adventcalendar', 'day22', 'sahm', 'busymom', 'lightdisplay', 'gardenglow', 'capcut']",age1,everyday life situation,0.9336533546447754
anon_0014,0.1221945137157107,36,9,4,401,"['ootd', 'pregnant', 'homestead', 'fyp', 'homesteading', 'sahm', 'momofboys', 'milkcow', 'momsoftiktok']",age1,relatable content,0.4551571607589721
anon_0015,0.0651162790697674,26,2,0,430,"['pregnant', 'fyp', 'sahm', 'photoslideshow', 'momsoftiktok', 'sahmsoftiktok', 'pregnancytiktok']",age1,personal experience,0.4354258179664612
anon_0016,0.0566525825644563,571,44,42,11597,"['pregnancy', 'pregnant', 'pregnantlife', '6monthspregnant', 'sahm', '27weekspregnant', 'pregnancyjourney', 'pregnancytok']",age1,everyday life situation,0.4272743761539459
anon_0017,0.0790190735694822,20,9,0,367,"['makeup', 'pregnant', 'grwm', 'pregnantlife', 'boymom', 'boyseverywhere', 'sahm', 'sahmlife', 'boymama', 'boymamalife', 'grwmroutine', 'grwmmakeup', 'sahmsoftiktok']",age1,everyday life situation,0.3876201212406158
anon_0018,0.0570071258907363,22,2,0,421,"['trending', 'youngmom', 'sahm', 'girlssupportinggirls', 'momsoftiktok', 'pregnanttiktok', 'fypシ', 'mnmoms']",age1,relatable content,0.3643167316913605
anon_0019,0.0498374864572047,43,2,1,923,"['motherhood', 'pregnancy', 'fyp', 'yourjustaboy', 'sahm', 'momsoftiktok']",age1,relatable content,0.7439628839492798
anon_0020,0.0410628019323671,16,1,0,414,"['like', 'pregnant', 'taco', 'fyp', 'tacotime', 'sahm', 'tacofamily', 'likeforlike☺☺', 'fypシ']",age1,relatable content,0.364168256521225
anon_0021,0.1891025641025641,45,14,0,312,"['bump', 'pregnant', 'pregnantlife', 'wfh', 'sahm', 'nesting', 'girlmom', '34weekspregnant', 'momtok', 'momsoftiktok']",age1,everyday life situation,0.2222763895988464
anon_0022,0.1182795698924731,34,10,0,372,"['happyfriday', 'creator', 'thursdayvibes', 'grocery', 'smalltowngirl', 'momlife', 'groceryshopping', 'youngmom', 'thursdaynightfootball', 'momof4', 'sahm', 'sahmlife', 'roadto10k', 'contentcreator', 'groceryhaul', '30weekspregnant', 'pregnancyjourney', 'thirdtrimester', 'momtok', 'fypage', 'momsoftiktok', 'fyppppppppppppppppppppppp', 'sahmsoftiktok', 'pregnancytiktok', 'fypシ゚viral', 'sahmtok', 'creatorsearchinsights']",age1,relatable content,0.2681553363800049
anon_0023,0.1727574750830564,34,10,8,301,"['teamwork', 'coffee', 'pregnant', 'momlife', 'fyp', 'protein', 'peppermintmocha', 'sahm', 'teamworkmakesthedreamwork']",age1,everyday life situation,0.428985983133316
anon_0024,0.0610932475884244,18,1,0,311,"['babyboy', 'pregnant', 'fyp', '36weekspregnant', 'sahm', 'toddlergirl', 'foryoupage']",age1,relatable content,0.93865704536438
anon_0025,0.0309405940594059,44,4,2,1616,"['twins', 'identicaltwins', 'motherhood', 'foryou', 'pregnant', 'fyp', 'twinmom', 'sahm', 'diditwins', 'toddlertwins', 'twinpregnancy', 'pregnanttiktok']",age1,relatable content,0.6384511590003967
anon_0026,0.1152263374485596,25,3,0,243,"['funny', 'relatable', 'joke', 'pregnant', 'imfine', 'sahm', 'mamaof3', 'momsoftiktok', 'capcut']",age1,relatable content,0.9809056520462036
anon_0027,0.1286407766990291,41,7,5,412,"['coffee', 'daylightsavings', 'twinmom', 'sahm', 'pregnanttiktok', 'bluecollarwife', 'pamomtok']",age1,relatable content,0.6910155415534973
anon_0028,0.0714285714285714,21,2,0,322,"['mom', 'drink', 'pregnant', 'momlife', 'pregnantlife', 'fyp', 'sahm', 'sahmlife', 'momtok', 'afternoondrink', 'momsoftiktok', 'pregnanttiktok', 'sahmsoftiktok', 'cleansimpleeats', 'sahmtok']",age1,everyday life situation,0.2961916327476501
anon_0029,0.0571487946799667,267,8,0,4812,"['food', 'cooking', 'withme', 'dinner', 'pregnant', 'fyp', 'sahm', 'foodforkids', 'momsoftiktok', 'foodtok']",age1,relatable content,0.2896516621112823
anon_0030,0.15234375,67,11,0,512,"['trending', 'pregnant', 'viralvideo', 'pregnantlife', 'fyp', 'sahm', 'cravingsatisfied', 'momtok', 'momsoftiktok', 'pregnanttiktok', 'fypシ']",age1,everyday life situation,0.6250150203704834
anon_0031,0.0268263473053892,106,5,1,4175,"['lol', 'haha', 'lmao', 'mommy', 'mom', 'relatable', 'mama', 'lovely', 'hahaha', 'tiktok', 'pregnancy', 'mykids', 'foryou', 'pregnant', 'momlife', 'pregnantlife', 'sahm', 'momofboys', 'momof6', 'momofgirls', 'momtok', 'momofboth', 'momsoftiktok', 'pregnanttiktok', 'pregnancytiktok', 'realisticmomlife', 'nonaestheticmom']",age1,relatable content,0.9809395670890808
anon_0032,0.0383141762452107,8,2,0,261,"['clean', 'cleaning', 'foryou', 'pregnant', 'fyp', 'sahm', 'stayathomemomlife', 'bathroomclean', '26weeks', 'foryoupage', 'cleantiktok', 'cleantok']",age1,relatable content,0.2299728393554687
anon_0033,0.1139240506329113,43,2,0,395,"['relatable', 'babyboy', 'pregnancy', 'foryou', 'pregnant', 'postpartum', 'momlife', 'breastfeeding', 'sahm', 'momsoftiktok']",age1,relatable content,0.6582534313201904
anon_0034,0.1247600767754318,46,19,0,521,"['mom', 'clean', 'mama', 'cleaning', 'natural', 'foryou', 'pregnant', 'momlife', 'fyp', 'pregnantmama', 'sahm', 'nontoxic', 'cleanliving', 'homemaking', 'homemadecleaner', 'momsoftiktok', 'fypシ', 'cleantok', 'nontoxicliving', 'nontoxichome', 'nontoxicproducts', 'diynontoxic']",age1,relatable content,0.2678033709526062
anon_0035,0.0389610389610389,98,4,0,2618,"['momlife', 'vlogging', 'sahm', '34weekspregnant', 'pregnancyjourney', 'thirdtrimester', 'momsoftiktok', 'pregnancyvlog', 'pregnancytiktok', 'pregnancysymptom', 'realisticmomlife']",age1,personal experience,0.2549991011619568
anon_0036,0.0666666666666666,59,1,1,915,"['sahm', 'pregnanttiktok', '2under2life', 'christianmomsoftiktok', 'christianitytiktok']",age1,everyday life situation,0.295820415019989
anon_0037,0.0966850828729281,31,4,0,362,"['pregnantlife', 'fyp', 'sahm', 'loungewear', 'babynumber4', 'tiktokcreator', '3under3', 'pregnanttiktok', 'momcontent', 'creatorsearchinsights']",age1,relatable content,0.9577972888946532
anon_0038,0.0418553420633949,323,4,15,8171,"['fyp', 'scrapbooking', 'babybook', 'sahm', 'scrapbook', 'memoriesareforever', 'babytok', 'foryuu', 'pregnancyjourney', 'fypシ', 'scrapbookingideas', 'scrapbookwithme', 'scrapbooksupplies', 'scrapbookjournal', 'scrapbookasmr']",age1,everyday life situation,0.2536523342132568
